"variable","value","procs"
"mpiTime",0.965322,64
"mpiTime",0.965478,64
"mpiTime",0.965906,64
"mpiTime",0.966155,64
"mpiTime",0.966526,64
"mpiTime",0.966681,64
"mpiTime",0.967303,64
"mpiTime",0.967548,64
"mpiTime",0.96805,64
"mpiTime",0.968447,64
"mpiTime",0.968847,64
"mpiTime",0.969277,64
"mpiTime",0.969702,64
"mpiTime",0.970119,64
"mpiTime",0.970494,64
"mpiTime",0.970983,64
"mpiTime",0.971402,64
"mpiTime",0.971817,64
"mpiTime",0.972241,64
"mpiTime",0.972648,64
"mpiTime",0.973027,64
"mpiTime",0.973509,64
"mpiTime",0.973929,64
"mpiTime",0.97083,64
"mpiTime",0.96253,64
"mpiTime",0.962723,64
"mpiTime",0.962965,64
"mpiTime",0.963227,64
"mpiTime",0.963442,64
"mpiTime",0.963665,64
"mpiTime",0.964023,64
"mpiTime",0.964218,64
"mpiTime",0.964716,64
"mpiTime",0.965101,64
"mpiTime",0.965226,64
"mpiTime",0.965592,64
"mpiTime",0.965664,64
"mpiTime",0.965798,64
"mpiTime",0.966154,64
"mpiTime",0.966379,64
"mpiTime",0.966522,64
"mpiTime",0.966872,64
"mpiTime",0.966913,64
"mpiTime",0.967308,64
"mpiTime",0.967683,64
"mpiTime",0.967717,64
"mpiTime",0.968113,64
"mpiTime",0.968339,64
"mpiTime",0.968975,64
"mpiTime",0.969198,64
"mpiTime",0.969352,64
"mpiTime",0.969495,64
"mpiTime",0.970078,64
"mpiTime",0.970208,64
"mpiTime",0.970547,64
"mpiTime",0.970608,64
"mpiTime",0.971305,64
"mpiTime",0.971551,64
"mpiTime",0.971866,64
"mpiTime",0.972172,64
"mpiTime",0.972452,64
"mpiTime",0.972686,64
"mpiTime",0.973096,64
"mpiTime",0.973345,64
"mpiTime",0.9739,64
"mpiTime",0.974119,64
"mpiTime",0.974375,64
"mpiTime",0.974705,64
"mpiTime",0.975166,64
"mpiTime",0.975374,64
"mpiTime",0.975557,64
"mpiTime",0.976007,64
"mpiTime",0.976559,64
"mpiTime",0.976966,64
"mpiTime",0.977351,64
"mpiTime",0.977778,64
"mpiTime",0.978211,64
"mpiTime",0.978612,64
"mpiTime",0.979026,64
"mpiTime",0.97946,64
"mpiTime",0.979889,64
"mpiTime",0.98029,64
"mpiTime",0.980694,64
"mpiTime",0.981133,64
"mpiTime",0.981549,64
"mpiTime",0.981978,64
"mpiTime",0.98244,64
"mpiTime",0.979361,64
"mpiTime",0.933292,64
"mpiTime",0.933332,64
"mpiTime",0.933585,64
"mpiTime",0.933762,64
"mpiTime",0.934169,64
"mpiTime",0.934312,64
"mpiTime",0.93467,64
"mpiTime",0.934901,64
"mpiTime",0.935499,64
"mpiTime",0.935677,64
"mpiTime",0.935941,64
"mpiTime",0.936165,64
"mpiTime",0.936205,64
"mpiTime",0.936636,64
"mpiTime",0.936693,64
"mpiTime",0.937163,64
"mpiTime",0.937268,64
"mpiTime",0.937644,64
"mpiTime",0.93782,64
"mpiTime",0.938155,64
"mpiTime",0.938361,64
"mpiTime",0.938621,64
"mpiTime",0.938878,64
"mpiTime",0.939221,64
"mpiTime",0.939627,64
"mpiTime",0.939979,64
"mpiTime",0.940066,64
"mpiTime",0.94037,64
"mpiTime",0.940589,64
"mpiTime",0.940949,64
"mpiTime",0.941409,64
"mpiTime",0.941494,64
"mpiTime",0.941896,64
"mpiTime",0.942228,64
"mpiTime",0.942449,64
"mpiTime",0.94279,64
"mpiTime",0.943135,64
"mpiTime",0.943383,64
"mpiTime",0.943803,64
"mpiTime",0.944074,64
"mpiTime",0.944518,64
"mpiTime",0.94449,64
"mpiTime",0.945045,64
"mpiTime",0.945382,64
"mpiTime",0.945637,64
"mpiTime",0.945996,64
"mpiTime",0.946187,64
"mpiTime",0.946721,64
"mpiTime",0.947261,64
"mpiTime",0.947662,64
"mpiTime",0.948078,64
"mpiTime",0.94849,64
"mpiTime",0.948492,64
"mpiTime",0.949323,64
"mpiTime",0.949753,64
"mpiTime",0.95016,64
"mpiTime",0.950609,64
"mpiTime",0.951008,64
"mpiTime",0.951411,64
"mpiTime",0.951831,64
"mpiTime",0.952287,64
"mpiTime",0.952708,64
"mpiTime",0.953143,64
"mpiTime",0.950057,64
"mpiTime",0.949439,64
"mpiTime",0.949726,64
"mpiTime",0.949933,64
"mpiTime",0.950033,64
"mpiTime",0.950372,64
"mpiTime",0.950514,64
"mpiTime",0.950944,64
"mpiTime",0.951176,64
"mpiTime",0.951542,64
"mpiTime",0.951926,64
"mpiTime",0.952275,64
"mpiTime",0.952201,64
"mpiTime",0.952596,64
"mpiTime",0.953008,64
"mpiTime",0.952818,64
"mpiTime",0.953049,64
"mpiTime",0.953546,64
"mpiTime",0.953664,64
"mpiTime",0.953967,64
"mpiTime",0.954281,64
"mpiTime",0.95466,64
"mpiTime",0.95487,64
"mpiTime",0.955132,64
"mpiTime",0.955442,64
"mpiTime",0.955746,64
"mpiTime",0.956093,64
"mpiTime",0.95652,64
"mpiTime",0.956678,64
"mpiTime",0.957052,64
"mpiTime",0.957297,64
"mpiTime",0.957623,64
"mpiTime",0.957836,64
"mpiTime",0.958157,64
"mpiTime",0.958528,64
"mpiTime",0.958786,64
"mpiTime",0.959187,64
"mpiTime",0.959455,64
"mpiTime",0.959803,64
"mpiTime",0.960028,64
"mpiTime",0.960366,64
"mpiTime",0.960799,64
"mpiTime",0.961075,64
"mpiTime",0.961375,64
"mpiTime",0.961673,64
"mpiTime",0.961821,64
"mpiTime",0.962389,64
"mpiTime",0.962616,64
"mpiTime",0.962955,64
"mpiTime",0.963555,64
"mpiTime",0.963947,64
"mpiTime",0.964329,64
"mpiTime",0.964756,64
"mpiTime",0.965172,64
"mpiTime",0.965571,64
"mpiTime",0.965997,64
"mpiTime",0.966444,64
"mpiTime",0.966865,64
"mpiTime",0.967276,64
"mpiTime",0.96759,64
"mpiTime",0.96811,64
"mpiTime",0.968533,64
"mpiTime",0.968956,64
"mpiTime",0.969389,64
"mpiTime",0.966311,64
"computeTime",0.042932,16
"computeTime",0.043332,16
"computeTime",0.043753,16
"computeTime",0.044226,16
"computeTime",0.044668,16
"computeTime",0.045101,16
"computeTime",0.045548,16
"computeTime",0.046082,16
"computeTime",0.046555,16
"computeTime",0.047016,16
"computeTime",0.047455,16
"computeTime",0.047914,16
"computeTime",0.048386,16
"computeTime",0.048859,16
"computeTime",0.049347,16
"computeTime",0.044527,16
"computeTime",0.043149,16
"computeTime",0.043553,16
"computeTime",0.043968,16
"computeTime",0.044425,16
"computeTime",0.044865,16
"computeTime",0.045301,16
"computeTime",0.045748,16
"computeTime",0.046249,16
"computeTime",0.046733,16
"computeTime",0.047183,16
"computeTime",0.047626,16
"computeTime",0.04808,16
"computeTime",0.048557,16
"computeTime",0.049034,16
"computeTime",0.049524,16
"computeTime",0.044729,16
"computeTime",0.043384,16
"computeTime",0.043791,16
"computeTime",0.044208,16
"computeTime",0.04467,16
"computeTime",0.045134,16
"computeTime",0.0456,16
"computeTime",0.046045,16
"computeTime",0.046516,16
"computeTime",0.046988,16
"computeTime",0.047441,16
"computeTime",0.047891,16
"computeTime",0.048354,16
"computeTime",0.04884,16
"computeTime",0.049307,16
"computeTime",0.049789,16
"computeTime",0.044966,16
"computeTime",0.043,16
"computeTime",0.043406,16
"computeTime",0.043826,16
"computeTime",0.044281,16
"computeTime",0.044729,16
"computeTime",0.045171,16
"computeTime",0.045616,16
"computeTime",0.046088,16
"computeTime",0.046554,16
"computeTime",0.047011,16
"computeTime",0.047458,16
"computeTime",0.047932,16
"computeTime",0.048413,16
"computeTime",0.048903,16
"computeTime",0.049387,16
"computeTime",0.044572,16
"computeTime",0.043205,16
"computeTime",0.043609,16
"computeTime",0.044029,16
"computeTime",0.044489,16
"computeTime",0.044935,16
"computeTime",0.045372,16
"computeTime",0.045818,16
"computeTime",0.046291,16
"computeTime",0.046769,16
"computeTime",0.047229,16
"computeTime",0.047676,16
"computeTime",0.048144,16
"computeTime",0.048615,16
"computeTime",0.049086,16
"computeTime",0.04956,16
"computeTime",0.044755,16
"computeTime",0.085212,8
"computeTime",0.086012,8
"computeTime",0.086858,8
"computeTime",0.087706,8
"computeTime",0.088608,8
"computeTime",0.089458,8
"computeTime",0.090363,8
"computeTime",0.086183,8
"computeTime",0.085105,8
"computeTime",0.085893,8
"computeTime",0.086725,8
"computeTime",0.087589,8
"computeTime",0.088473,8
"computeTime",0.089335,8
"computeTime",0.090244,8
"computeTime",0.086078,8
"computeTime",0.085514,8
"computeTime",0.086327,8
"computeTime",0.087163,8
"computeTime",0.088008,8
"computeTime",0.088903,8
"computeTime",0.089763,8
"computeTime",0.09066,8
"computeTime",0.086514,8
"computeTime",0.085371,8
"computeTime",0.086171,8
"computeTime",0.087006,8
"computeTime",0.087862,8
"computeTime",0.08874,8
"computeTime",0.089601,8
"computeTime",0.090495,8
"computeTime",0.086359,8
"computeTime",0.085322,8
"computeTime",0.086123,8
"computeTime",0.086981,8
"computeTime",0.087833,8
"computeTime",0.088733,8
"computeTime",0.089594,8
"computeTime",0.090494,8
"computeTime",0.086317,8
"computeTime",0.023173,32
"computeTime",0.023532,32
"computeTime",0.023931,32
"computeTime",0.024354,32
